,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nikolskoye,10,RU,1669019385,84,59.7035,30.7861,21.09,4.7
1,dikson,31,RU,1669019334,96,73.5069,80.5464,-22.18,4.97
2,pekan,100,MY,1669019417,66,3.4836,103.3996,89.71,3.76
3,brenes,75,ES,1669019418,97,37.5494,-5.8714,55.85,3.44
4,polson,57,US,1669019418,65,47.6936,-114.1632,15.73,1.52
5,amurzet,0,RU,1669019419,60,47.6967,131.0981,18.36,7.76
6,singaraja,99,ID,1669019419,75,-8.112,115.0882,82.81,3.09
7,tuatapere,100,NZ,1669019420,89,-46.1333,167.6833,53.53,6.53
8,yumen,100,CN,1669019420,21,40.2833,97.2,46.85,12.97
9,kapaa,0,US,1669019309,83,22.0752,-159.319,75.52,19.57
10,makubetsu,75,JP,1669019421,87,45.3714,141.8211,40.71,3.44
11,boyolangu,96,ID,1669019421,77,-8.1181,111.8935,82.24,9.17
12,sistranda,0,NO,1669019422,59,63.7256,8.834,28.36,36.71
13,san quintin,91,MX,1669019339,46,30.4833,-115.95,59.94,1.52
14,kahului,20,US,1669019422,72,20.8947,-156.47,77.85,11.99
15,ixtapa,95,MX,1669019376,83,20.7,-105.2,73.22,2.91
16,chon daen,84,TH,1669019423,72,16.1895,100.8596,92.19,5.28
17,cape town,20,ZA,1669019702,57,-33.9258,18.4232,72.01,9.22
18,hobart,40,AU,1669019032,70,-42.8794,147.3294,48.06,19.57
19,jumla,8,NP,1669019391,19,29.2747,82.1838,64.02,6.96
20,jamestown,0,US,1669019165,66,42.097,-79.2353,24.39,8.05
21,sinjar,82,IQ,1669019424,36,36.3209,41.8754,66.04,0.36
22,carnarvon,0,AU,1669019300,46,-24.8667,113.6333,78.71,20.07
23,putina,100,PE,1669019424,61,-15.4667,-69.4333,46.49,1.7
24,aksarka,99,RU,1669019425,89,66.5606,67.7975,3.4,26.13
25,axim,99,GH,1669019425,72,4.8699,-2.2405,81.99,4.32
26,rikitea,100,PF,1669019312,83,-23.1203,-134.9692,69.35,12.97
27,bluff,100,NZ,1669019331,90,-46.6,168.3333,58.8,25.08
28,chuy,100,UY,1669019330,93,-33.6971,-53.4616,66.31,5.41
29,lebu,8,CL,1669019390,77,-37.6167,-73.65,52.29,18.72
30,qaanaaq,23,GL,1669019357,83,77.484,-69.3632,-14.33,6.96
31,carauari,100,BR,1669019347,98,-4.8828,-66.8958,73.11,1.99
